red,green,blue,yellow,qplumes
0.20862494011342583,0.2260887051739977,-0.14374813115953453,0.2544497129935951,6166.409548
-0.22384116916671334,-0.4636165221728065,-0.3903998708948081,-0.3450843831279555,643.8822297
-0.1715267204634707,-0.06297892687576583,0.1340232205984138,-0.11585075814030378,482.992296
-0.2133782794260648,-0.39261745465181197,-0.36043283709519547,-0.3450843831279555,89.248819
-0.2203535392531638,-0.2861188533703201,-0.2878204090422878,-0.3450843831279555,436.457166
-0.20291538968541628,-0.16440616619147233,-0.3996204966793043,-0.16875082544514647,692.2293595
-0.22384116916671334,-0.4636165221728065,-0.4203669046944208,-0.3450843831279555,552.3814552
-0.22384116916671334,-0.4636165221728065,-0.36619572821050556,-0.3450843831279555,126.6102038
0.22955071959472287,-0.25569068157560815,-0.20713993342794595,-0.3450843831279555,208.1942354
-0.22384116916671334,-0.4433310743096652,-0.38694213622562207,-0.3274510273596746,34.608053
-0.07736071279763394,-0.38754609268602663,-0.3800266668872499,-0.20401753698170827,159.291858
-0.22384116916671334,-0.41290290251495326,-0.4030782313484904,-0.3450843831279555,331.5640568
-0.22384116916671334,-0.39768881661759725,-0.3500596330876372,-0.3450843831279555,123.8841093
0.5155363725057825,1.9047095158489402,0.409489415910238,1.7532849532974717,1018.642741
-0.15060094098217364,-0.1390493563625457,-0.3811792451103119,-0.010050623530618379,1599.07748
-0.22384116916671334,-0.4382597123438799,-0.4099937006868626,-0.27455096005483187,106.7178697
-0.18896487003121823,-0.4484024362754505,-0.37080604110275367,-0.3450843831279555,586.9233477
0.0516815940036979,0.8143666932050954,0.4256255110331064,0.8363504533468649,1543.93022
-0.22384116916671334,-0.3216183871308174,-0.39616276201011824,-0.15111746967686557,235.9915744
-0.22384116916671334,-0.34697519695974405,-0.2301914978891865,-0.3450843831279555,285.182121
0.45275903406189144,3.867326596607861,0.6665143596530698,4.698055366600382,979.725051
-0.15408857089572314,0.023234226542584703,-0.1564264916132168,-0.22165089274998917,1111.36052
-0.18547724011766872,0.00802014064522873,-0.18869868185895355,-0.3450843831279555,426.052147
0.6166776399987184,0.35794411628441614,-0.08727179822949524,0.2544497129935951,1051.93075
-0.22384116916671334,-0.10862118456783375,-0.17602032140527127,-0.04531733506718018,250.2790415
-0.22384116916671334,-0.2252625097808962,-0.2659214228041093,0.14864957838390971,890.0119327
-0.22384116916671334,-0.4433310743096652,-0.32124517751108655,-0.3450843831279555,68.530924
0.7492075767135997,1.7018550372175272,1.0341868128098561,0.8187170975785839,1494.41396
-0.14362568115507462,-0.4027601785833826,-0.384636979779498,-0.3450843831279555,347.0804134
3.183573256371157,6.534862990610942,8.537471044943647,6.179257251135978,5065.505615
-0.22384116916671334,-0.4636165221728065,-0.40884112246380055,-0.3450843831279555,70.7784138
-0.22384116916671334,0.0840905701320086,0.43254098037147853,-0.25691760428655097,181.750517
-0.22384116916671334,-0.4636165221728065,-0.40423080957155244,-0.3450843831279555,133.639601
-0.22384116916671334,-0.25061931960982287,-0.05269445153763446,-0.3450843831279555,169.4743089
-0.22384116916671334,-0.4636165221728065,-0.3731111975488777,-0.3450843831279555,323.4578634
-0.22384116916671334,-0.41290290251495326,0.19165213175151508,-0.3450843831279555,85.89710876
-0.15060094098217364,-0.09340709867047776,1.0122878265716777,-0.3098176715913937,472.693442
-0.22384116916671334,0.03844831243994068,-0.0941872675678674,-0.3450843831279555,526.5922743
0.11097130253403956,-0.2658334055071788,-0.295888456603722,-0.27455096005483187,780.402305
0.3306919870876586,-0.31147566319924674,-0.21175024632019407,-0.22165089274998917,626.980321
-0.2064030195989658,-0.3216183871308174,-0.33622869441089287,-0.3450843831279555,233.2044762
-0.2133782794260648,0.3427300303870602,-0.23364923255837255,-0.09821740237202288,230.7546097
